Treatment,Inject,Accuracy,F1 Minority,EOD,AOD
None,0,85 (84),66 (66),11 (13),9 (10)
FairBalance,0,81 (81),68 (67),-6 (-4),1 (2)
FairBalance,10,82 (81),68 (68),0 (1),7 (7)
FairBalance,20,81 (80),68 (68),10 (12),16 (16)
FairBalance,30,79 (79),67 (67),22 (24),26 (26)
FairBalance,40,77 (76),65 (65),32 (34),35 (36)
FairBalance,-10,82 (81),67 (67),-11 (-9),-4 (-3)
FairBalance,-20,80 (80),64 (64),-22 (-20),-15 (-14)
FairBalance,-30,78 (77),60 (60),-31 (-30),-26 (-25)
FairBalance,-40,75 (75),56 (55),-38 (-37),-35 (-35)
