tpr,fpr,prec,acc,f1,sex: eod,sex: aod,race: eod,race: aod,Favor,Preprocessing
38 (0),6 (0),65 (1),80 (0),48 (0),-45 (1),-28 (0),-16 (2),-10 (1),None,None
69 (2),25 (2),46 (1),73 (1),55 (0),-3 (6),-2 (5),0 (4),-1 (2),None,FairBalanceClass
67 (3),31 (1),40 (1),68 (0),50 (1),22 (6),23 (5),3 (4),3 (3),Female (0.1),FairBalanceClass
76 (4),31 (2),43 (1),70 (1),55 (1),-15 (6),-15 (5),2 (5),0 (5),Male (0.1),FairBalanceClass
66 (2),26 (1),44 (1),71 (1),53 (0),1 (4),3 (4),20 (2),20 (2),Non-white (0.1),FairBalanceClass
79 (3),37 (2),39 (1),66 (1),52 (1),2 (7),2 (6),-17 (6),-19 (4),White (0.1),FairBalanceClass
67 (1),31 (2),40 (1),68 (1),50 (0),18 (4),19 (4),13 (3),12 (3),"Female (0.1), Non-white (0.1)",FairBalanceClass
67 (2),31 (1),40 (0),68 (0),50 (0),23 (2),25 (1),3 (3),3 (2),Female (0.2),FairBalanceClass
80 (4),34 (2),42 (0),68 (0),55 (0),-19 (4),-19 (4),0 (3),-1 (2),Male (0.2),FairBalanceClass
65 (1),26 (2),43 (1),71 (1),52 (0),2 (5),3 (4),21 (3),21 (3),Non-white (0.2),FairBalanceClass
82 (3),40 (2),38 (0),64 (0),52 (0),1 (3),1 (2),-20 (5),-22 (3),White (0.2),FairBalanceClass
68 (2),32 (2),39 (1),67 (1),50 (0),14 (5),16 (5),13 (5),12 (4),"Female (0.2), Non-white (0.2)",FairBalanceClass
66 (1),31 (1),39 (0),68 (0),49 (0),24 (2),26 (1),3 (5),3 (2),Female (0.3),FairBalanceClass
80 (1),35 (1),41 (1),68 (0),54 (1),-19 (5),-20 (5),0 (3),-2 (2),Male (0.3),FairBalanceClass
65 (0),26 (1),44 (1),71 (1),52 (0),2 (6),3 (4),22 (2),23 (2),Non-white (0.3),FairBalanceClass
82 (1),41 (0),38 (0),64 (0),52 (0),1 (2),1 (1),-21 (4),-23 (3),White (0.3),FairBalanceClass
69 (4),33 (2),39 (1),67 (1),50 (0),15 (8),16 (8),13 (7),12 (5),"Female (0.3), Non-white (0.3)",FairBalanceClass
66 (1),31 (1),39 (0),68 (0),49 (0),24 (2),26 (1),3 (3),3 (2),Female (0.4),FairBalanceClass
80 (3),35 (2),41 (1),68 (1),54 (1),-19 (5),-19 (5),0 (3),-1 (3),Male (0.4),FairBalanceClass
65 (2),25 (2),44 (1),72 (0),52 (1),1 (4),3 (3),23 (2),23 (3),Non-white (0.4),FairBalanceClass
82 (2),41 (1),38 (0),64 (0),52 (0),1 (1),1 (1),-20 (4),-22 (3),White (0.4),FairBalanceClass
68 (2),33 (2),39 (1),67 (1),50 (1),16 (6),16 (5),14 (4),13 (3),"Female (0.4), Non-white (0.4)",FairBalanceClass
