tpr,fpr,prec,acc,f1,sex: eod,sex: aod,race: eod,race: aod,Favor,Preprocessing
55 (1),23 (1),66 (2),67 (1),60 (1),19 (6),16 (4),19 (4),14 (2),None,None
63 (2),32 (1),61 (1),65 (1),62 (1),0 (5),-1 (4),-1 (5),-3 (3),None,FairBalanceClass
63 (2),33 (2),61 (1),65 (1),62 (1),3 (7),1 (6),-1 (5),-3 (4),Female (0.1),FairBalanceClass
63 (2),32 (2),61 (1),65 (0),62 (1),-2 (8),-2 (6),0 (8),-3 (6),Male (0.1),FairBalanceClass
63 (2),32 (2),61 (1),65 (1),62 (1),-3 (5),-2 (5),2 (7),0 (5),Non-white (0.1),FairBalanceClass
63 (1),32 (2),61 (2),65 (1),62 (1),0 (9),0 (8),-2 (4),-5 (3),White (0.1),FairBalanceClass
63 (5),32 (4),62 (2),65 (1),62 (1),1 (7),0 (9),2 (6),0 (6),"Female (0.1), Non-white (0.1)",FairBalanceClass
63 (3),32 (2),61 (1),65 (1),62 (1),5 (10),4 (10),-1 (4),-4 (5),Female (0.2),FairBalanceClass
63 (2),32 (3),61 (1),65 (1),62 (1),-5 (5),-6 (5),0 (6),-2 (4),Male (0.2),FairBalanceClass
63 (3),32 (3),61 (1),65 (1),62 (1),0 (9),-1 (6),4 (6),0 (7),Non-white (0.2),FairBalanceClass
63 (2),32 (2),62 (2),65 (1),62 (1),3 (8),2 (6),-3 (4),-6 (3),White (0.2),FairBalanceClass
64 (4),33 (5),61 (2),65 (1),63 (2),2 (9),2 (9),1 (6),0 (8),"Female (0.2), Non-white (0.2)",FairBalanceClass
64 (4),32 (5),62 (2),65 (1),63 (2),8 (7),8 (7),-1 (6),-3 (4),Female (0.3),FairBalanceClass
62 (3),32 (2),62 (2),65 (1),62 (1),-6 (8),-7 (7),2 (7),0 (5),Male (0.3),FairBalanceClass
65 (5),35 (5),60 (2),65 (1),62 (1),0 (9),0 (9),5 (11),2 (10),Non-white (0.3),FairBalanceClass
63 (2),32 (3),61 (1),65 (1),62 (1),3 (10),3 (8),-4 (5),-8 (5),White (0.3),FairBalanceClass
65 (6),36 (7),60 (2),65 (1),63 (1),2 (7),4 (8),6 (9),4 (10),"Female (0.3), Non-white (0.3)",FairBalanceClass
65 (5),33 (7),60 (4),65 (1),63 (1),5 (6),7 (5),0 (6),-3 (7),Female (0.4),FairBalanceClass
62 (3),31 (2),61 (2),65 (1),61 (1),-7 (6),-8 (6),2 (7),0 (6),Male (0.4),FairBalanceClass
66 (5),35 (6),60 (2),64 (1),63 (1),2 (10),0 (9),8 (8),8 (10),Non-white (0.4),FairBalanceClass
62 (2),32 (2),61 (1),65 (1),62 (2),3 (7),4 (5),-6 (5),-8 (4),White (0.4),FairBalanceClass
68 (5),38 (8),59 (3),64 (1),63 (1),7 (8),7 (6),8 (12),8 (11),"Female (0.4), Non-white (0.4)",FairBalanceClass
